concept,concept_type,name,description,tags,unit,domain
ae_cap_water,measure,Växthusgasutsläpp per capita: Vattenförsörjning: avlopp: avfallshantering och sanering,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Kilogram per capita,
ae_cap_retail,measure,Växthusgasutsläpp per capita: Detaljhandel: reparation av motorfordon och motorcyklar,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Kilogram per capita,
ae_ton_food,measure,Växthusgasutsläpp: Hotell- och restaurangverksamhet,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_house,measure,Växthusgasutsläpp: Hushållens verksamhet,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_exorg,measure,Växthusgasutsläpp: Verksamhet som bedrivs av extraterritoriella organisationer och organ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_house_emp,measure,Växthusgasutsläpp: Hushållens produktion av varor och tjänster för eget bruk,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_admin,measure,Växthusgasutsläpp: Förvaltnings- och stödtjänster,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_agri,measure,Växthusgasutsläpp: Jordbruk: skogsbruk och fiske,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_air,measure,Växthusgasutsläpp: Lufttransport,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_isic,measure,Växthusgasutsläpp: Alla ISIC-aktiviteter och hushållsaktiviteter,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_isic_nace,measure,Växthusgasutsläpp: Alla ISIC/NACE aktiviteter,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_arts,measure,Växthusgasutsläpp: Konst och underhållning,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_const,measure,Växthusgasutsläpp: Byggnation,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_edu,measure,Växthusgasutsläpp: Utbildning,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_elec,measure,Växthusgasutsläpp: El- gas- ång- och luftkonditionering,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_finance,measure,Växthusgasutsläpp: Finans- och försäkringsverksamhet,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_health,measure,Växthusgasutsläpp: Hälso- och sjukvård samt socialt arbete,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_info,measure,Växthusgasutsläpp: Information och kommunikation,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_land,measure,Växthusgasutsläpp: Landtransport och transport via rörledningar,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_manu,measure,Växthusgasutsläpp: Tillverkningsindustrin,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_mine,measure,Växthusgasutsläpp: Gruv- och stenbrottsverksamhet,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_other,measure,Växthusgasutsläpp: Övrig serviceverksamhet,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_prof,measure,Växthusgasutsläpp: Yrkesmässig: vetenskaplig och teknisk verksamhet,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_def,measure,Växthusgasutsläpp: Offentlig förvaltning och försvar: Obligatorisk socialförsäkring,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_real,measure,Växthusgasutsläpp: Fastighetsverksamhet,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_serv,measure,Växthusgasutsläpp: Tjänster (exkluderat Transport och magasinering),Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_total,measure,Växthusgasutsläpp: Totalt,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_transp,measure,Växthusgasutsläpp: Transport och magasinering,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_water,measure,Växthusgasutsläpp: Vattenförsörjning: avlopp: avfallshantering och sanering,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_wat_trans,measure,Växthusgasutsläpp: Vattentransport,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
ae_ton_retail,measure,Växthusgasutsläpp: Detaljhandel: reparation av motorfordon och motorcyklar,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utslapp,Tusen ton,
chain_out_air,measure,Produktionsvärde: Lufttransport,Transportsektorn består av branscherna: H49 landtransportföretag: rörtransportföretag: H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,transp,Miljoner nationell valuta (fasta priser),
chain_out_land,measure,Produktionsvärde: Landtransport och transport via rörledningar,Transportsektorn består av branscherna: H49 landtransportföretag: rörtransportföretag: H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,transp,Miljoner nationell valuta (fasta priser),
chain_out_transp,measure,Produktionsvärde: Transport och magasinering,Transportsektorn består av branscherna: H49 landtransportföretag: rörtransportföretag: H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,transp,Miljoner nationell valuta (fasta priser),
chain_out_water,measure,Produktionsvärde: Vattentransport,Transportsektorn består av branscherna: H49 landtransportföretag: rörtransportföretag: H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,transp,Miljoner nationell valuta (fasta priser),
chain_value_air,measure,Förädlingsvärde: Lufttransport,Transportsektorn består av branscherna: H49 landtransportföretag: rörtransportföretag: H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,transp,Miljoner nationell valuta (fasta priser),
chain_value_land,measure,Förädlingsvärde: Landtransport och transport via rörledningar,Transportsektorn består av branscherna: H49 landtransportföretag: rörtransportföretag: H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,transp,Miljoner nationell valuta (fasta priser),
chain_value_transp,measure,Förädlingsvärde: Transport och magasinering,Transportsektorn består av branscherna: H49 landtransportföretag: rörtransportföretag: H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,transp,Miljoner nationell valuta (fasta priser),
chain_value_water,measure,Förädlingsvärde: Vattentransport,Transportsektorn består av branscherna: H49 landtransportföretag: rörtransportföretag: H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,transp,Miljoner nationell valuta (fasta priser),
dev_inv_cap,measure,Miljöpatent per capita,Patent är baserat på antalet prioriterade patentansökningar (enkla patentfamiljer): efter uppfinnarens bosättningsland: med en patentfamiljsstorlek på två eller fler (uppfinningar med högt värde.,invest,Antal,
